State,District,Most AQI Reached,Current AQI,Major Source of Pollution
Delhi (NCT),Central Delhi (Area 6),437,437,Industrial Emissions
Delhi (NCT),East Delhi,487,471,Construction Dust
Delhi (NCT),East Delhi (Area 1),256,226,Construction Dust
Delhi (NCT),East Delhi (Area 2),404,262,Crop Burning
Delhi (NCT),East Delhi (Area 3),438,294,Domestic Fuel
Delhi (NCT),East Delhi (Area 4),449,326,Crop Burning
Delhi (NCT),East Delhi (Area 5),377,326,Waste Burning
Delhi (NCT),East Delhi (Area 6),409,406,Construction Dust
Delhi (NCT),New Delhi,452,428,Crop Burning
Delhi (NCT),New Delhi (Area 1),451,158,Vehicle
Delhi (NCT),New Delhi (Area 2),459,190,Vehicle
Delhi (NCT),New Delhi (Area 3),376,372,Construction Dust
Delhi (NCT),New Delhi (Area 4),496,262,Construction Dust
Delhi (NCT),New Delhi (Area 5),260,258,Crop Burning
Delhi (NCT),New Delhi (Area 6),458,401,Vehicle
Delhi (NCT),North Delhi,439,399,Crop Burning
Delhi (NCT),North Delhi (Area 1),482,164,Road Dust
Delhi (NCT),North Delhi (Area 2),315,177,Crop Burning
Delhi (NCT),North Delhi (Area 3),370,174,Waste Burning
Delhi (NCT),North Delhi (Area 4),433,260,Crop Burning
Delhi (NCT),North Delhi (Area 5),463,285,Road Dust
Delhi (NCT),North Delhi (Area 6),391,326,Vehicle
Delhi (NCT),North East  Delhi,202,188,Crop Burning
Delhi (NCT),North East  Delhi (Area 1),400,384,Construction Dust
Delhi (NCT),North East  Delhi (Area 2),445,373,Crop Burning
Delhi (NCT),North East  Delhi (Area 3),462,427,Crop Burning
Delhi (NCT),North East  Delhi (Area 4),477,427,Crop Burning
Delhi (NCT),North East  Delhi (Area 5),460,392,Vehicle
Delhi (NCT),North East  Delhi (Area 6),485,208,Vehicle
Delhi (NCT),North West  Delhi,268,227,Vehicle
Delhi (NCT),North West  Delhi (Area 1),487,474,Crop Burning
Delhi (NCT),North West  Delhi (Area 2),246,234,Industrial Emissions
Delhi (NCT),North West  Delhi (Area 3),316,306,Construction Dust
Delhi (NCT),North West  Delhi (Area 4),422,338,Crop Burning
Delhi (NCT),North West  Delhi (Area 5),332,292,Crop Burning
Delhi (NCT),North West  Delhi (Area 6),467,399,Industrial Emissions
Delhi (NCT),Shahdara,440,363,Industrial Emissions
Delhi (NCT),Shahdara (Area 1),324,237,Construction Dust
Delhi (NCT),Shahdara (Area 2),309,256,Domestic Fuel
Delhi (NCT),Shahdara (Area 3),392,377,Construction Dust
Delhi (NCT),Shahdara (Area 4),488,394,Industrial Emissions
Delhi (NCT),Shahdara (Area 5),422,336,Industrial Emissions
Delhi (NCT),Shahdara (Area 6),200,175,Crop Burning
Delhi (NCT),South Delhi,465,247,Crop Burning
Delhi (NCT),South Delhi (Area 1),388,378,Crop Burning
Delhi (NCT),South Delhi (Area 2),421,243,Crop Burning
Delhi (NCT),South Delhi (Area 3),415,236,Industrial Emissions
Delhi (NCT),South Delhi (Area 4),462,290,Crop Burning
Delhi (NCT),South Delhi (Area 5),449,220,Crop Burning
Delhi (NCT),South Delhi (Area 6),451,343,Crop Burning
Delhi (NCT),South East Delhi,372,282,Crop Burning
Delhi (NCT),South East Delhi (Area 1),346,169,Crop Burning
Delhi (NCT),South East Delhi (Area 2),452,380,Industrial Emissions
Delhi (NCT),South East Delhi (Area 3),298,261,Crop Burning
Delhi (NCT),South East Delhi (Area 4),353,324,Crop Burning
Delhi (NCT),South East Delhi (Area 5),353,219,Crop Burning
Delhi (NCT),South East Delhi (Area 6),224,150,Domestic Fuel
Delhi (NCT),South West  Delhi,468,448,Crop Burning
Delhi (NCT),South West  Delhi (Area 1),493,465,Construction Dust
Delhi (NCT),South West  Delhi (Area 2),437,436,Vehicle
Delhi (NCT),South West  Delhi (Area 3),497,385,Industrial Emissions
Delhi (NCT),South West  Delhi (Area 4),500,462,Construction Dust
Delhi (NCT),South West  Delhi (Area 5),276,190,Crop Burning
Delhi (NCT),South West  Delhi (Area 6),372,358,Vehicle
Delhi (NCT),West Delhi,373,321,Waste Burning
Delhi (NCT),West Delhi (Area 1),216,159,Waste Burning
Delhi (NCT),West Delhi (Area 2),288,207,Construction Dust
Delhi (NCT),West Delhi (Area 3),491,349,Crop Burning
Delhi (NCT),West Delhi (Area 4),484,155,Crop Burning
Delhi (NCT),West Delhi (Area 5),439,279,Construction Dust
Delhi (NCT),West Delhi (Area 6),452,444,Construction Dust
Goa,North Goa,177,36,Road Dust
Goa,North Goa (Area 1),216,159,Road Dust
Goa,North Goa (Area 2),259,91,Waste Burning
Goa,North Goa (Area 3),165,103,Domestic Fuel
Goa,North Goa (Area 4),99,94,Domestic Fuel
Goa,North Goa (Area 5),311,135,Industrial Emissions
Goa,North Goa (Area 6),167,156,Domestic Fuel
Goa,South Goa,148,57,Waste Burning
Goa,South Goa (Area 1),228,147,Road Dust
Goa,South Goa (Area 2),140,44,Domestic Fuel
Goa,South Goa (Area 3),289,51,Domestic Fuel
Goa,South Goa (Area 4),193,88,Crop Burning
Goa,South Goa (Area 5),225,93,Construction Dust
Goa,South Goa (Area 6),308,144,Vehicle
Gujarat,Ahmedabad,299,98,Vehicle
Gujarat,Ahmedabad (Area 1),304,120,Construction Dust
Gujarat,Ahmedabad (Area 2),88,64,Vehicle
Gujarat,Ahmedabad (Area 3),251,109,Crop Burning
Gujarat,Ahmedabad (Area 4),220,179,Domestic Fuel
Gujarat,Ahmedabad (Area 5),278,159,Domestic Fuel
Gujarat,Ahmedabad (Area 6),187,111,Construction Dust
Gujarat,Amreli,292,92,Construction Dust
Gujarat,Amreli (Area 1),226,170,Road Dust
Gujarat,Amreli (Area 2),291,135,Construction Dust
Gujarat,Amreli (Area 3),320,176,Domestic Fuel
Gujarat,Amreli (Area 4),245,46,Vehicle
Gujarat,Amreli (Area 5),222,62,Construction Dust
Gujarat,Amreli (Area 6),316,107,Crop Burning
Gujarat,Anand,260,81,Waste Burning
Gujarat,Anand (Area 1),190,59,Domestic Fuel
Gujarat,Anand (Area 2),275,178,Vehicle
Gujarat,Anand (Area 3),223,114,Industrial Emissions
Gujarat,Anand (Area 4),138,71,Construction Dust
Gujarat,Anand (Area 5),293,117,Construction Dust
Gujarat,Anand (Area 6),121,100,Road Dust
Gujarat,Aravalli,97,78,Road Dust
Gujarat,Aravalli (Area 1),289,151,Waste Burning
Gujarat,Aravalli (Area 2),154,142,Industrial Emissions
Gujarat,Aravalli (Area 3),220,35,Industrial Emissions
Gujarat,Aravalli (Area 4),198,65,Vehicle
Gujarat,Aravalli (Area 5),268,114,Waste Burning
Gujarat,Aravalli (Area 6),225,172,Vehicle
Gujarat,Banaskantha (Palanpur),216,115,Crop Burning
Gujarat,Banaskantha (Palanpur) (Area 1),214,116,Crop Burning
Gujarat,Banaskantha (Palanpur) (Area 2),214,139,Waste Burning
Gujarat,Banaskantha (Palanpur) (Area 3),222,144,Industrial Emissions
Gujarat,Banaskantha (Palanpur) (Area 4),156,128,Vehicle
Gujarat,Banaskantha (Palanpur) (Area 5),240,146,Vehicle
Gujarat,Banaskantha (Palanpur) (Area 6),311,135,Road Dust
Gujarat,Bharuch,252,107,Domestic Fuel
Gujarat,Bharuch (Area 1),291,113,Crop Burning
Gujarat,Bharuch (Area 2),150,70,Construction Dust
Gujarat,Bharuch (Area 3),246,138,Domestic Fuel
Gujarat,Bharuch (Area 4),113,113,Crop Burning
Gujarat,Bharuch (Area 5),269,100,Road Dust
Gujarat,Bharuch (Area 6),100,63,Industrial Emissions
Gujarat,Bhavnagar,87,74,Vehicle
Gujarat,Bhavnagar (Area 1),303,32,Waste Burning
Gujarat,Bhavnagar (Area 2),237,146,Industrial Emissions
Gujarat,Bhavnagar (Area 3),302,176,Industrial Emissions
Gujarat,Bhavnagar (Area 4),150,53,Waste Burning
Gujarat,Bhavnagar (Area 5),241,83,Industrial Emissions
Gujarat,Bhavnagar (Area 6),186,144,Construction Dust
Gujarat,Botad,228,128,Construction Dust
Gujarat,Botad (Area 1),254,103,Domestic Fuel
Gujarat,Botad (Area 2),104,73,Construction Dust
Gujarat,Botad (Area 3),209,175,Industrial Emissions
Gujarat,Botad (Area 4),296,163,Construction Dust
Gujarat,Botad (Area 5),114,58,Domestic Fuel
Gujarat,Botad (Area 6),185,82,Road Dust
Gujarat,Chhota Udepur,157,65,Construction Dust
Gujarat,Chhota Udepur (Area 1),159,120,Vehicle
Gujarat,Chhota Udepur (Area 2),225,75,Crop Burning
Gujarat,Chhota Udepur (Area 3),46,39,Road Dust
Gujarat,Chhota Udepur (Area 4),152,94,Waste Burning
Gujarat,Chhota Udepur (Area 5),157,110,Crop Burning
Gujarat,Chhota Udepur (Area 6),272,190,Industrial Emissions
Gujarat,Dahod,244,45,Road Dust
Gujarat,Dahod (Area 1),183,113,Domestic Fuel
Gujarat,Dahod (Area 2),174,173,Domestic Fuel
Gujarat,Dahod (Area 3),120,78,Road Dust
Gujarat,Dahod (Area 4),282,137,Construction Dust
Gujarat,Dahod (Area 5),202,38,Vehicle
Gujarat,Dahod (Area 6),234,127,Domestic Fuel
Gujarat,Dangs (Ahwa),217,70,Road Dust
Gujarat,Dangs (Ahwa) (Area 1),82,38,Industrial Emissions
Gujarat,Dangs (Ahwa) (Area 2),128,120,Road Dust
Gujarat,Dangs (Ahwa) (Area 3),301,31,Construction Dust
Gujarat,Dangs (Ahwa) (Area 4),157,92,Road Dust
Gujarat,Dangs (Ahwa) (Area 5),244,45,Crop Burning
Gujarat,Dangs (Ahwa) (Area 6),46,31,Domestic Fuel
Gujarat,Devbhoomi Dwarka,246,159,Waste Burning
Gujarat,Devbhoomi Dwarka (Area 1),185,93,Industrial Emissions
Gujarat,Devbhoomi Dwarka (Area 2),215,130,Industrial Emissions
Gujarat,Devbhoomi Dwarka (Area 3),165,60,Domestic Fuel
Gujarat,Devbhoomi Dwarka (Area 4),228,163,Waste Burning
Gujarat,Devbhoomi Dwarka (Area 5),177,112,Waste Burning
Gujarat,Devbhoomi Dwarka (Area 6),163,145,Crop Burning
Gujarat,Gandhinagar,306,178,Crop Burning
Gujarat,Gandhinagar (Area 1),91,31,Waste Burning
Gujarat,Gandhinagar (Area 2),109,99,Crop Burning
Gujarat,Gandhinagar (Area 3),301,110,Industrial Emissions
Gujarat,Gandhinagar (Area 4),189,165,Construction Dust
Gujarat,Gandhinagar (Area 5),275,91,Construction Dust
Gujarat,Gandhinagar (Area 6),192,127,Vehicle
Gujarat,Gir Somnath,262,190,Crop Burning
Gujarat,Gir Somnath (Area 1),313,66,Crop Burning
Gujarat,Gir Somnath (Area 2),287,91,Road Dust
Gujarat,Gir Somnath (Area 3),221,142,Waste Burning
Gujarat,Gir Somnath (Area 4),252,160,Industrial Emissions
Gujarat,Gir Somnath (Area 5),189,138,Road Dust
Gujarat,Gir Somnath (Area 6),187,127,Waste Burning
Gujarat,Jamnagar,248,32,Road Dust
Gujarat,Jamnagar (Area 1),180,89,Road Dust
Gujarat,Jamnagar (Area 2),98,51,Industrial Emissions
Gujarat,Jamnagar (Area 3),123,97,Industrial Emissions
Gujarat,Jamnagar (Area 4),234,76,Industrial Emissions
Gujarat,Jamnagar (Area 5),132,86,Crop Burning
Gujarat,Jamnagar (Area 6),280,114,Waste Burning
Gujarat,Junagadh,274,42,Crop Burning
Gujarat,Junagadh (Area 1),211,60,Road Dust
Gujarat,Junagadh (Area 2),81,74,Waste Burning
Gujarat,Junagadh (Area 3),283,190,Vehicle
Gujarat,Junagadh (Area 4),245,166,Road Dust
Gujarat,Junagadh (Area 5),288,88,Domestic Fuel
Gujarat,Junagadh (Area 6),96,84,Road Dust
Gujarat,Kachchh,254,143,Crop Burning
Gujarat,Kachchh (Area 1),257,62,Road Dust
Gujarat,Kachchh (Area 2),221,153,Waste Burning
Gujarat,Kachchh (Area 3),315,47,Road Dust
Gujarat,Kachchh (Area 4),258,104,Crop Burning
Gujarat,Kachchh (Area 5),235,172,Crop Burning
Gujarat,Kachchh (Area 6),136,59,Vehicle
Gujarat,Kheda (Nadiad),307,137,Industrial Emissions
Gujarat,Kheda (Nadiad) (Area 1),225,185,Crop Burning
Gujarat,Kheda (Nadiad) (Area 2),184,113,Crop Burning
Gujarat,Kheda (Nadiad) (Area 3),101,34,Construction Dust
Gujarat,Kheda (Nadiad) (Area 4),202,70,Industrial Emissions
Gujarat,Kheda (Nadiad) (Area 5),244,98,Construction Dust
Gujarat,Kheda (Nadiad) (Area 6),284,127,Construction Dust
Gujarat,Mahisagar,195,64,Waste Burning
Gujarat,Mahisagar (Area 1),164,158,Construction Dust
Gujarat,Mahisagar (Area 2),190,163,Industrial Emissions
Gujarat,Mahisagar (Area 3),230,123,Crop Burning
Gujarat,Mahisagar (Area 4),303,159,Waste Burning
Gujarat,Mahisagar (Area 5),172,146,Waste Burning
Gujarat,Mahisagar (Area 6),295,190,Road Dust
Gujarat,Mehsana,110,81,Road Dust
Gujarat,Mehsana (Area 1),129,100,Waste Burning
Gujarat,Mehsana (Area 2),284,98,Domestic Fuel
Gujarat,Mehsana (Area 3),201,59,Road Dust
Gujarat,Mehsana (Area 4),181,170,Road Dust
Gujarat,Mehsana (Area 5),250,134,Waste Burning
Gujarat,Mehsana (Area 6),280,98,Vehicle
Gujarat,Morbi,207,135,Vehicle
Gujarat,Morbi (Area 1),290,117,Industrial Emissions
Gujarat,Morbi (Area 2),283,184,Crop Burning
Gujarat,Morbi (Area 3),260,34,Construction Dust
Gujarat,Morbi (Area 4),237,110,Vehicle
Gujarat,Morbi (Area 5),303,137,Domestic Fuel
Gujarat,Morbi (Area 6),220,157,Vehicle
Gujarat,Narmada (Rajpipla),240,185,Crop Burning
Gujarat,Narmada (Rajpipla) (Area 1),184,116,Road Dust
Gujarat,Narmada (Rajpipla) (Area 2),133,48,Road Dust
Gujarat,Narmada (Rajpipla) (Area 3),243,55,Waste Burning
Gujarat,Narmada (Rajpipla) (Area 4),208,135,Crop Burning
Gujarat,Narmada (Rajpipla) (Area 5),282,123,Construction Dust
Gujarat,Narmada (Rajpipla) (Area 6),77,44,Construction Dust
Gujarat,Navsari,184,176,Road Dust
Gujarat,Navsari (Area 1),302,70,Road Dust
Gujarat,Navsari (Area 2),219,121,Industrial Emissions
Gujarat,Navsari (Area 3),180,97,Waste Burning
Gujarat,Navsari (Area 4),262,147,Road Dust
Gujarat,Navsari (Area 5),191,170,Waste Burning
Gujarat,Navsari (Area 6),296,61,Waste Burning
Gujarat,Panchmahal (Godhra),136,66,Industrial Emissions
Gujarat,Panchmahal (Godhra) (Area 1),231,136,Industrial Emissions
Gujarat,Panchmahal (Godhra) (Area 2),183,128,Domestic Fuel
Gujarat,Panchmahal (Godhra) (Area 3),112,96,Industrial Emissions
Gujarat,Panchmahal (Godhra) (Area 4),254,116,Waste Burning
Gujarat,Panchmahal (Godhra) (Area 5),176,152,Industrial Emissions
Gujarat,Panchmahal (Godhra) (Area 6),265,187,Crop Burning
Gujarat,Patan,296,109,Waste Burning
Gujarat,Patan (Area 1),212,76,Construction Dust
Gujarat,Patan (Area 2),130,102,Crop Burning
Gujarat,Patan (Area 3),222,73,Crop Burning
Gujarat,Patan (Area 4),319,101,Road Dust
Gujarat,Patan (Area 5),221,155,Waste Burning
Gujarat,Patan (Area 6),107,106,Domestic Fuel
Gujarat,Porbandar,242,92,Domestic Fuel
Gujarat,Porbandar (Area 1),200,101,Construction Dust
Gujarat,Porbandar (Area 2),293,122,Crop Burning
Gujarat,Porbandar (Area 3),137,133,Vehicle
Gujarat,Porbandar (Area 4),149,71,Domestic Fuel
Gujarat,Porbandar (Area 5),221,82,Industrial Emissions
Gujarat,Porbandar (Area 6),221,188,Construction Dust
Gujarat,Rajkot,182,50,Industrial Emissions
Gujarat,Rajkot (Area 1),129,32,Construction Dust
Gujarat,Rajkot (Area 2),149,132,Waste Burning
Gujarat,Rajkot (Area 3),288,78,Domestic Fuel
Gujarat,Rajkot (Area 4),304,162,Vehicle
Gujarat,Rajkot (Area 5),231,87,Road Dust
Gujarat,Rajkot (Area 6),57,44,Vehicle
Gujarat,Sabarkantha (Himmatnagar),122,93,Construction Dust
Gujarat,Sabarkantha (Himmatnagar) (Area 1),262,123,Construction Dust
Gujarat,Sabarkantha (Himmatnagar) (Area 2),217,183,Vehicle
Gujarat,Sabarkantha (Himmatnagar) (Area 3),192,126,Waste Burning
Gujarat,Sabarkantha (Himmatnagar) (Area 4),218,184,Domestic Fuel
Gujarat,Sabarkantha (Himmatnagar) (Area 5),266,160,Domestic Fuel
Gujarat,Sabarkantha (Himmatnagar) (Area 6),303,176,Crop Burning
Gujarat,Surat,249,125,Road Dust
Gujarat,Surat (Area 1),121,65,Domestic Fuel
Gujarat,Surat (Area 2),310,175,Industrial Emissions
Gujarat,Surat (Area 3),268,163,Industrial Emissions
Gujarat,Surat (Area 4),191,171,Road Dust
Gujarat,Surat (Area 5),251,75,Domestic Fuel
Gujarat,Surat (Area 6),268,149,Construction Dust
Gujarat,Surendranagar,286,127,Crop Burning
Gujarat,Surendranagar (Area 1),281,146,Waste Burning
Gujarat,Surendranagar (Area 2),244,175,Crop Burning
Gujarat,Surendranagar (Area 3),146,74,Domestic Fuel
Gujarat,Surendranagar (Area 4),302,111,Crop Burning
Gujarat,Surendranagar (Area 5),250,55,Waste Burning
Gujarat,Surendranagar (Area 6),99,86,Crop Burning
Gujarat,Tapi (Vyara),212,160,Road Dust
Gujarat,Tapi (Vyara) (Area 1),301,82,Waste Burning
Gujarat,Tapi (Vyara) (Area 2),275,115,Road Dust
Gujarat,Tapi (Vyara) (Area 3),270,186,Crop Burning
Gujarat,Tapi (Vyara) (Area 4),189,138,Industrial Emissions
Gujarat,Tapi (Vyara) (Area 5),197,43,Domestic Fuel
Gujarat,Tapi (Vyara) (Area 6),233,113,Waste Burning
Gujarat,Vadodara,223,130,Road Dust
Gujarat,Vadodara (Area 1),161,106,Waste Burning
Gujarat,Vadodara (Area 2),204,68,Waste Burning
Gujarat,Vadodara (Area 3),212,80,Waste Burning
Gujarat,Vadodara (Area 4),213,172,Construction Dust
Gujarat,Vadodara (Area 5),179,98,Construction Dust
Gujarat,Vadodara (Area 6),284,53,Waste Burning
Gujarat,Valsad,262,77,Crop Burning
Gujarat,Valsad (Area 1),248,160,Waste Burning
Gujarat,Valsad (Area 2),299,95,Road Dust
Gujarat,Valsad (Area 3),310,180,Domestic Fuel
Gujarat,Valsad (Area 4),276,132,Domestic Fuel
Gujarat,Valsad (Area 5),144,110,Vehicle
Gujarat,Valsad (Area 6),182,45,Vehicle
Haryana,Ambala,410,289,Industrial Emissions
Haryana,Ambala (Area 1),482,475,Construction Dust
Haryana,Ambala (Area 2),476,346,Road Dust
Haryana,Ambala (Area 3),351,349,Crop Burning
Haryana,Ambala (Area 4),352,300,Construction Dust
Haryana,Ambala (Area 5),466,344,Domestic Fuel
Haryana,Ambala (Area 6),372,350,Road Dust
Haryana,Bhiwani,272,234,Crop Burning
Haryana,Bhiwani (Area 1),485,270,Crop Burning
Haryana,Bhiwani (Area 2),463,410,Crop Burning
Haryana,Bhiwani (Area 3),431,287,Crop Burning
Haryana,Bhiwani (Area 4),357,224,Waste Burning
Haryana,Bhiwani (Area 5),465,461,Construction Dust
Haryana,Bhiwani (Area 6),496,440,Industrial Emissions
Haryana,Charkhi Dadri,188,174,Industrial Emissions
Haryana,Charkhi Dadri (Area 1),386,259,Industrial Emissions
Haryana,Charkhi Dadri (Area 2),244,197,Waste Burning
Haryana,Charkhi Dadri (Area 3),410,242,Construction Dust
Haryana,Charkhi Dadri (Area 4),456,272,Industrial Emissions
Haryana,Charkhi Dadri (Area 5),476,403,Crop Burning
Haryana,Charkhi Dadri (Area 6),444,194,Crop Burning
Haryana,Faridabad,405,404,Vehicle
Haryana,Faridabad (Area 1),434,301,Road Dust
Haryana,Faridabad (Area 2),238,220,Crop Burning
Haryana,Faridabad (Area 3),418,321,Crop Burning
Haryana,Faridabad (Area 4),409,377,Crop Burning
Haryana,Faridabad (Area 5),485,479,Crop Burning
Haryana,Faridabad (Area 6),442,442,Vehicle
Haryana,Fatehabad,492,453,Crop Burning
Haryana,Fatehabad (Area 1),487,462,Crop Burning
Haryana,Fatehabad (Area 2),429,375,Crop Burning
Haryana,Fatehabad (Area 3),238,197,Crop Burning
Haryana,Fatehabad (Area 4),466,453,Industrial Emissions
Haryana,Fatehabad (Area 5),495,239,Crop Burning
Haryana,Fatehabad (Area 6),449,276,Crop Burning
Haryana,Gurgaon,408,346,Crop Burning
Haryana,Gurgaon (Area 1),433,195,Crop Burning
Haryana,Gurgaon (Area 2),380,267,Industrial Emissions
Haryana,Gurgaon (Area 3),322,322,Industrial Emissions
Haryana,Gurgaon (Area 4),422,360,Vehicle
Haryana,Gurgaon (Area 5),308,184,Crop Burning
Haryana,Gurgaon (Area 6),372,360,Vehicle
Haryana,Hisar,458,456,Crop Burning
Haryana,Hisar (Area 1),494,390,Construction Dust
Haryana,Hisar (Area 2),393,352,Vehicle
Haryana,Hisar (Area 3),411,297,Vehicle
Haryana,Hisar (Area 4),457,447,Crop Burning
Haryana,Hisar (Area 5),374,354,Construction Dust
Haryana,Hisar (Area 6),446,442,Construction Dust
Haryana,Jhajjar,494,353,Vehicle
Haryana,Jhajjar (Area 1),346,335,Domestic Fuel
Haryana,Jhajjar (Area 2),451,254,Vehicle
Haryana,Jhajjar (Area 3),444,188,Crop Burning
Haryana,Jhajjar (Area 4),478,310,Crop Burning
Haryana,Jhajjar (Area 5),325,158,Crop Burning
Haryana,Jhajjar (Area 6),328,290,Crop Burning
Haryana,Jind,472,358,Construction Dust
Haryana,Jind (Area 1),452,409,Vehicle
Haryana,Jind (Area 2),396,245,Waste Burning
Haryana,Jind (Area 3),488,432,Crop Burning
Haryana,Jind (Area 4),261,186,Domestic Fuel
Haryana,Jind (Area 5),378,233,Industrial Emissions
Haryana,Jind (Area 6),448,361,Vehicle
Haryana,Kaithal,430,410,Vehicle
Haryana,Kaithal (Area 1),354,163,Crop Burning
Haryana,Kaithal (Area 2),499,454,Construction Dust
Haryana,Kaithal (Area 3),416,397,Construction Dust
Haryana,Kaithal (Area 4),442,367,Construction Dust
Haryana,Kaithal (Area 5),484,435,Vehicle
Haryana,Kaithal (Area 6),348,283,Crop Burning
Haryana,Karnal,492,296,Crop Burning
Haryana,Karnal (Area 1),489,271,Crop Burning
Haryana,Karnal (Area 2),349,202,Crop Burning
Haryana,Karnal (Area 3),307,239,Crop Burning
Haryana,Karnal (Area 4),408,342,Crop Burning
Haryana,Karnal (Area 5),377,185,Industrial Emissions
Haryana,Karnal (Area 6),322,167,Crop Burning
Haryana,Kurukshetra,302,208,Domestic Fuel
Haryana,Kurukshetra (Area 1),461,345,Crop Burning
Haryana,Kurukshetra (Area 2),326,281,Crop Burning
Haryana,Kurukshetra (Area 3),461,439,Construction Dust
Haryana,Kurukshetra (Area 4),369,341,Crop Burning
Haryana,Kurukshetra (Area 5),485,448,Crop Burning
Haryana,Kurukshetra (Area 6),487,244,Crop Burning
Haryana,Mahendragarh,384,337,Crop Burning
Haryana,Mahendragarh (Area 1),449,337,Domestic Fuel
Haryana,Mahendragarh (Area 2),482,476,Crop Burning
Haryana,Mahendragarh (Area 3),303,273,Crop Burning
Haryana,Mahendragarh (Area 4),500,359,Vehicle
Haryana,Mahendragarh (Area 5),484,381,Crop Burning
Haryana,Mahendragarh (Area 6),344,267,Road Dust
Haryana,Mewat,311,291,Road Dust
Haryana,Mewat (Area 1),493,289,Road Dust
Haryana,Mewat (Area 2),500,472,Crop Burning
Haryana,Mewat (Area 3),472,469,Industrial Emissions
Haryana,Mewat (Area 4),455,398,Crop Burning
Haryana,Mewat (Area 5),412,324,Vehicle
Haryana,Mewat (Area 6),482,370,Crop Burning
Haryana,Palwal,363,242,Waste Burning
Haryana,Palwal (Area 1),348,301,Crop Burning
Haryana,Palwal (Area 2),489,469,Crop Burning
Haryana,Palwal (Area 3),478,407,Crop Burning
Haryana,Palwal (Area 4),366,267,Industrial Emissions
Haryana,Palwal (Area 5),491,469,Crop Burning
Haryana,Palwal (Area 6),492,209,Domestic Fuel
Haryana,Panchkula,486,417,Crop Burning
Haryana,Panchkula (Area 1),374,170,Road Dust
Haryana,Panchkula (Area 2),371,291,Crop Burning
Haryana,Panchkula (Area 3),260,164,Construction Dust
Haryana,Panchkula (Area 4),308,159,Vehicle
Haryana,Panchkula (Area 5),361,350,Construction Dust
Haryana,Panchkula (Area 6),435,392,Vehicle
Haryana,Panipat,373,315,Vehicle
Haryana,Panipat (Area 1),417,369,Vehicle
Haryana,Panipat (Area 2),487,193,Crop Burning
Haryana,Panipat (Area 3),260,170,Industrial Emissions
Haryana,Panipat (Area 4),415,376,Industrial Emissions
Haryana,Panipat (Area 5),484,450,Construction Dust
Haryana,Panipat (Area 6),279,167,Industrial Emissions
Haryana,Rewari,376,224,Road Dust
Haryana,Rewari (Area 1),492,438,Construction Dust
Haryana,Rewari (Area 2),314,217,Crop Burning
Haryana,Rewari (Area 3),345,201,Crop Burning
Haryana,Rewari (Area 4),371,268,Vehicle
Haryana,Rewari (Area 5),403,369,Construction Dust
Haryana,Rewari (Area 6),215,171,Crop Burning
Haryana,Rohtak,377,186,Crop Burning
Haryana,Rohtak (Area 1),475,412,Construction Dust
Haryana,Rohtak (Area 2),332,265,Industrial Emissions
Haryana,Rohtak (Area 3),498,459,Crop Burning
Haryana,Rohtak (Area 4),483,449,Crop Burning
Haryana,Rohtak (Area 5),461,424,Construction Dust
Haryana,Rohtak (Area 6),465,222,Crop Burning
Haryana,Sirsa,359,272,Crop Burning
Haryana,Sirsa (Area 1),466,407,Vehicle
Haryana,Sirsa (Area 2),453,448,Industrial Emissions
Haryana,Sirsa (Area 3),271,176,Construction Dust
Haryana,Sirsa (Area 4),446,374,Crop Burning
Haryana,Sirsa (Area 5),412,279,Industrial Emissions
Haryana,Sirsa (Area 6),278,189,Crop Burning
Haryana,Sonipat,320,238,Crop Burning
Haryana,Sonipat (Area 1),222,164,Crop Burning
Haryana,Sonipat (Area 2),422,335,Vehicle
Haryana,Sonipat (Area 3),329,285,Domestic Fuel
Haryana,Sonipat (Area 4),447,386,Vehicle
Haryana,Sonipat (Area 5),365,242,Crop Burning
Haryana,Sonipat (Area 6),409,250,Vehicle
Haryana,Yamunanagar,160,156,Crop Burning
Haryana,Yamunanagar (Area 1),474,447,Industrial Emissions
Haryana,Yamunanagar (Area 2),450,448,Construction Dust
Haryana,Yamunanagar (Area 3),437,333,Industrial Emissions
Haryana,Yamunanagar (Area 4),379,169,Industrial Emissions
Haryana,Yamunanagar (Area 5),448,423,Construction Dust
Haryana,Yamunanagar (Area 6),366,239,Crop Burning
Himachal Pradesh,Bilaspur,277,65,Crop Burning
Himachal Pradesh,Bilaspur (Area 1),293,39,Construction Dust
Himachal Pradesh,Bilaspur (Area 2),135,104,Waste Burning
Himachal Pradesh,Bilaspur (Area 3),123,71,Construction Dust
Himachal Pradesh,Bilaspur (Area 4),250,69,Waste Burning
Himachal Pradesh,Bilaspur (Area 5),152,140,Road Dust
Himachal Pradesh,Bilaspur (Area 6),224,51,Industrial Emissions
Himachal Pradesh,Chamba,223,164,Waste Burning
Himachal Pradesh,Chamba (Area 1),189,130,Road Dust
Himachal Pradesh,Chamba (Area 2),69,45,Road Dust
Himachal Pradesh,Chamba (Area 3),131,110,Vehicle
Himachal Pradesh,Chamba (Area 4),274,119,Construction Dust
Himachal Pradesh,Chamba (Area 5),247,72,Domestic Fuel
Himachal Pradesh,Chamba (Area 6),175,171,Construction Dust
Himachal Pradesh,Hamirpur,122,47,Road Dust
Himachal Pradesh,Hamirpur (Area 1),77,50,Industrial Emissions
Himachal Pradesh,Hamirpur (Area 2),229,119,Road Dust
